window_start,window_end,window_start_ms,window_end_ms,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-10-30 19:33:30.897000+00:00,2025-10-30 22:44:12.991000+00:00,1761852810897,1761864252991,1.085573480990667e-07,-1.549544045825472e-06,8.944385003424846e-09,9391949.809559999,0.945591,0.22827189966981676,500
2025-10-30 20:45:38.264000+00:00,2025-10-31 00:23:59.181000+00:00,1761857138264,1761870239181,1.6275419582385362e-07,-1.5546981257263896e-05,1.6671118298854782e-08,9248482.790719999,0.945306,0.1606400469484844,500
2025-10-30 22:44:21.320000+00:00,2025-10-31 02:02:34.228000+00:00,1761864261320,1761876154228,3.016184762019845e-08,-1.5182077107328704e-05,7.147523415193118e-09,9279470.194439998,0.9426479999999999,0.03452367314490802,500
2025-10-31 00:24:19.688000+00:00,2025-10-31 03:26:21.383000+00:00,1761870259688,1761881181383,1.5485189908841094e-08,2.2761284605084082e-06,2.4076972793117317e-09,9432709.47804,0.942814,0.0766914293196143,500
2025-10-31 02:02:39.809000+00:00,2025-10-31 04:42:27.493000+00:00,1761876159809,1761885747493,1.4563090800331108e-07,2.099998919289953e-06,1.1005852384968661e-08,9504420.21786,0.944162,0.26012795342403056,500
2025-10-31 03:26:54.026000+00:00,2025-10-31 06:22:01.315000+00:00,1761881214026,1761891721315,6.402519559870812e-08,3.007730968645428e-06,6.989403424739692e-09,9518075.367420003,0.9445219999999999,0.1441997982378586,500
2025-10-31 04:42:36.542000+00:00,2025-10-31 07:06:06.801000+00:00,1761885756542,1761894366801,5.7159093470934234e-08,1.0365550100940656e-06,4.136074757118501e-09,9583728.64492,0.9445239999999998,0.27719514683933594,500
2025-10-31 06:22:01.808000+00:00,2025-10-31 07:52:06.552000+00:00,1761891721808,1761897126552,9.891500742806286e-08,-2.043807847162018e-06,6.630230341425522e-09,9644559.18984,0.9450819999999999,0.3088807237682475,500
2025-10-31 07:06:43.391000+00:00,2025-10-31 08:38:58.925000+00:00,1761894403391,1761899938925,9.891500742806521e-08,-2.0438078471621602e-06,6.630230341425522e-09,9673160.414719999,0.9460820000000001,0.30888072376826226,500
2025-10-31 07:52:06.560000+00:00,2025-10-31 09:40:19.932000+00:00,1761897126560,1761903619932,3.029044588660673e-08,5.700141069345047e-07,2.8993757583593217e-09,9684824.439459998,0.9470380000000003,0.179767084954519,500
2025-10-31 08:39:03.852000+00:00,2025-10-31 10:42:34.358000+00:00,1761899943852,1761907354358,4.9383769856953586e-08,-1.3454969935602224e-06,4.140797258712233e-09,9691845.8242,0.9483420000000001,0.22215825283608773,500
2025-10-31 09:40:22.553000+00:00,2025-10-31 11:49:20.632000+00:00,1761903622553,1761911360632,1.40552514414523e-07,-2.7821898904986625e-06,5.759571845681685e-09,9870383.271840002,0.9493260000000001,0.5445902261729338,500
2025-10-31 10:42:42.176000+00:00,2025-10-31 12:42:42.920000+00:00,1761907362176,1761914562920,1.747643762334313e-07,3.3329523645448545e-06,5.517511159048198e-09,10056982.680580001,0.9500580000000001,0.6682816498053404,500
