time_window,outlier_method,r_squared,beta,p_value,n_windows,phase
15,Pctl (5%-95%),0.006107962948378944,-1.795375527178701e-06,0.05550570710028569,601,Phase 2: Middle
20,Raw,0.054058406676270314,-2.4724422252711056e-06,1.3347638412952522e-07,503,Phase 2: Middle
20,IQR (1.5x),0.00026925203262426444,3.406956731838076e-07,0.7284857034365307,450,Phase 2: Middle
20,Pctl (1%-99%),0.006241305562643697,-9.448058189381516e-07,0.0803189808891309,491,Phase 2: Middle
20,Z-Score (3),0.028113158404823375,-2.40260246512458e-06,0.00019857600136354098,488,Phase 2: Middle
20,Winsorized,0.044725126283214074,-2.560932793651649e-06,1.7055832609824725e-06,503,Phase 2: Middle
20,Abs (200k),0.08173517689087025,-3.330019961972241e-06,6.742030742236901e-11,502,Phase 2: Middle
20,Abs (100k),0.020562055684791202,-1.9184850679080224e-06,0.001427388451658761,492,Phase 2: Middle
20,MAD (3),0.008513275553750865,2.1597054692820057e-06,0.056477735715078706,428,Phase 2: Middle
20,Pctl (5%-95%),0.011822189705033842,-1.927533626309575e-06,0.020915103050630723,451,Phase 2: Middle
30,Raw,0.06102770168473725,-2.441584705449537e-06,4.745185269566698e-06,335,Phase 2: Middle
30,IQR (1.5x),0.0036196204265473014,-1.1040142166634765e-06,0.2941454718882965,306,Phase 2: Middle
30,Pctl (1%-99%),0.0006373499744750882,-3.110179296754297e-07,0.649218941109586,327,Phase 2: Middle
30,Z-Score (3),0.006696494559500505,-1.0388045511482682e-06,0.13857037695166383,329,Phase 2: Middle
30,Winsorized,0.0446045251595556,-2.3667408064568004e-06,9.814541408210796e-05,335,Phase 2: Middle
30,Abs (200k),0.013682137072202848,-1.3546402797101438e-06,0.03312314443017244,332,Phase 2: Middle
30,Abs (100k),0.025772910147780218,-2.408536561298337e-06,0.003872921995033923,322,Phase 2: Middle
30,MAD (3),5.6589752863517306e-05,1.606589435078082e-07,0.8978021008795637,294,Phase 2: Middle
30,Pctl (5%-95%),0.009403541983413213,-1.6732157171463085e-06,0.09308213925374569,301,Phase 2: Middle
45,Raw,0.09359150704479992,-2.8784074318232332e-06,3.24164950727115e-06,223,Phase 2: Middle
45,IQR (1.5x),0.00037111400191801417,3.245996023858032e-07,0.7865786345003529,200,Phase 2: Middle
45,Pctl (1%-99%),0.06981127257242799,-3.0147559253014383e-06,8.150103667138252e-05,217,Phase 2: Middle
45,Z-Score (3),0.02254625618226373,-1.6350388500464103e-06,0.02628507328400601,219,Phase 2: Middle
45,Winsorized,0.09610283553619402,-3.034187294820248e-06,2.3568106448886173e-06,223,Phase 2: Middle
45,Abs (200k),0.02254625618226373,-1.6350388500464103e-06,0.02628507328400601,219,Phase 2: Middle
45,Abs (100k),0.004849767654838995,-9.760490620475873e-07,0.3175390984734456,208,Phase 2: Middle
45,MAD (3),0.00037111400191801417,3.245996023858032e-07,0.7865786345003529,200,Phase 2: Middle
45,Pctl (5%-95%),0.01677818442153773,-1.8438406380209976e-06,0.06823785887744904,199,Phase 2: Middle
60,Raw,0.07305808313426307,-2.4360112272527273e-06,0.00039496774834166996,168,Phase 2: Middle
60,IQR (1.5x),0.0168050163544653,1.9654565355292093e-06,0.11385857379472082,150,Phase 2: Middle
60,Pctl (1%-99%),0.1363686218443647,-3.941666815422529e-06,1.1385311561101523e-06,164,Phase 2: Middle
60,Z-Score (3),0.012510650882621092,-1.0797933782926236e-06,0.15389308276819771,164,Phase 2: Middle
60,Winsorized,0.07955761402653122,-2.6273782715916314e-06,0.00021213283521908784,168,Phase 2: Middle
60,Abs (200k),0.012510650882621092,-1.0797933782926236e-06,0.15389308276819771,164,Phase 2: Middle
60,Abs (100k),0.008244544905623404,1.2633196336972718e-06,0.2659189740598383,152,Phase 2: Middle
60,MAD (3),0.0168050163544653,1.9654565355292093e-06,0.11385857379472082,150,Phase 2: Middle
60,Pctl (5%-95%),0.00034834706835462886,-2.3012967251757266e-07,0.8206612220223195,150,Phase 2: Middle
90,Raw,0.09253905566423394,-2.244249424769392e-06,0.0011105889878801302,112,Phase 2: Middle
90,IQR (1.5x),4.4724574354691825e-05,-6.410668778111369e-08,0.9470799612677618,101,Phase 2: Middle
90,Pctl (1%-99%),0.16408426057137598,-3.3850107776530995e-06,1.3702906388897018e-05,108,Phase 2: Middle
90,Z-Score (3),0.14336180485117275,-3.0351265091053153e-06,4.529077915373485e-05,110,Phase 2: Middle
90,Winsorized,0.1007878125396261,-2.3862442383890167e-06,0.0006477593555907087,112,Phase 2: Middle
90,Abs (200k),0.00022537365575350695,-1.2467787714541182e-07,0.8791877652619429,105,Phase 2: Middle
90,Abs (100k),0.020903185915656913,1.6975485903119518e-06,0.16675926754350068,93,Phase 2: Middle
90,MAD (3),0.0029799441508362038,5.67013520295176e-07,0.5934336603551299,98,Phase 2: Middle
90,Pctl (5%-95%),0.04326733659881186,-2.0241529022603573e-06,0.03782915322695416,100,Phase 2: Middle
1,Raw,0.0007880172013389404,-1.6029523723535198e-07,0.010550062624937526,8298,Phase 3: Near Expiry
