level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L50pct,90,Z-Score (3),0.3,0.7142616684901748,0.00015471830773949917,7.212001791177258e-84,303,5.640453705305114e-06
L10,15,Abs (100k),0.3,0.7137364719987876,0.0003807405061340483,0.0,1835,5.631990520955205e-06
L10,15,Raw,0.3,0.7137364719987876,0.0003807405061340483,0.0,1835,5.631990520955205e-06
L10,15,Abs (200k),0.3,0.7137364719987876,0.0003807405061340483,0.0,1835,5.631990520955205e-06
L10,45,Winsorized,0.3,0.7133444243619672,0.00040645396943808296,1.82835434018073e-168,615,1.0406667845464679e-05
L5,15,Raw,0.3,0.7123772249261516,0.0008084636139016435,0.0,1835,1.1998746252133021e-05
L5,15,Abs (200k),0.3,0.7123772249261516,0.0008084636139016435,0.0,1835,1.1998746252133021e-05
L5,15,Abs (100k),0.3,0.7123772249261516,0.0008084636139016435,0.0,1835,1.1998746252133021e-05
L20,90,Z-Score (3),0.3,0.7122708065264712,0.00018875306024377866,2.0534193457053214e-83,303,6.914808316887844e-06
L20,15,Raw,0.3,0.7115330762221768,0.0001846274765785132,0.0,1835,2.745778919044092e-06
L20,15,Abs (100k),0.3,0.7115330762221768,0.0001846274765785132,0.0,1835,2.745778919044092e-06
L20,15,Abs (200k),0.3,0.7115330762221768,0.0001846274765785132,0.0,1835,2.745778919044092e-06
L50pct,90,Pctl (1%-99%),0.3,0.7079636480171507,0.00015521551262121094,6.621577351238843e-82,301,5.765175170551296e-06
L50pct,15,Raw,0.3,0.7077180015305811,0.00014978006435300127,0.0,1835,2.248245294942908e-06
L50pct,15,Abs (200k),0.3,0.7077180015305811,0.00014978006435300127,0.0,1835,2.248245294942908e-06
L50pct,15,Abs (100k),0.3,0.7077180015305811,0.00014978006435300127,0.0,1835,2.248245294942908e-06
L50pct,90,Winsorized,0.5,0.7074608391112606,2.2047688697864973e-05,6.192022043431982e-84,309,8.091605180135781e-07
L20,90,Pctl (1%-99%),0.3,0.7069841835709844,0.00018966180918742132,1.0930864257546913e-81,301,7.061305114753642e-06
L20,45,Winsorized,0.3,0.7066193818333377,0.0002016429024321062,2.243247805599797e-165,615,5.247780237014328e-06
L50pct,45,Winsorized,0.3,0.7029468191148012,0.00016432274199223857,1.018493068686373e-163,615,4.314428782328218e-06
L20,90,Winsorized,0.5,0.7021068215346893,2.6746616887087353e-05,1.0058124577636568e-82,309,9.94324984542509e-07
L50pct,60,Abs (100k),0.5,0.700078275331863,2.0352861863181464e-05,1.3966175001361929e-121,459,6.231578164891747e-07
L3,90,Pctl (1%-99%),0.3,0.699524406157021,0.0013342533585009786,4.711921546201052e-80,301,5.057150470655231e-05
L2,10,Abs (200k),0.3,0.6989502512534257,0.002177632276623453,0.0,2747,2.7277801986562087e-05
L2,10,Raw,0.3,0.6989502512534257,0.002177632276623453,0.0,2747,2.7277801986562087e-05
L2,10,Abs (100k),0.3,0.6989502512534257,0.002177632276623453,0.0,2747,2.7277801986562087e-05
L2,90,Z-Score (3),0.3,0.6985886804888578,0.0019907365747779335,4.113601388008698e-80,302,7.549569285857735e-05
L50pct,90,Abs (100k),0.5,0.6983260353067078,2.0223452062195365e-05,1.2746076603050622e-81,308,7.598613855462729e-07
