time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
10,Abs (100k),Phase 3 (Near Expiry),0.2923725552830877,2.9028037047839394e-06,8.53890113328078e-69,891
10,MAD (3),Phase 1 (Early),0.06892077618087486,3.384785134658201e-06,3.7273518593450826e-14,805
10,MAD (3),Phase 2 (Middle),0.15514795143526752,4.906039017675591e-06,2.841972013803089e-31,805
10,MAD (3),Phase 3 (Near Expiry),0.19457176227920664,3.6546980157893056e-06,1.0598119563827903e-39,806
10,Pctl (5%-95%),Phase 1 (Early),0.07199714275337256,3.2276463229104866e-06,4.879970031121284e-15,823
10,Pctl (5%-95%),Phase 2 (Middle),0.1674024442386041,4.6421132800096366e-06,1.4749955424901901e-34,823
10,Pctl (5%-95%),Phase 3 (Near Expiry),0.20057787706547583,3.4761660450315e-06,6.071335288812876e-42,825
15,Raw,Phase 1 (Early),0.07146902380715686,2.024769570804822e-06,1.8518542529739033e-11,611
15,Raw,Phase 2 (Middle),0.3241326994441213,2.9156768237436286e-06,8.819195904948473e-54,611
15,Raw,Phase 3 (Near Expiry),0.21408481973251228,1.0688805954605181e-06,7.55361995194279e-34,613
15,IQR (1.5x),Phase 1 (Early),0.07606263957309876,3.346281519364183e-06,1.0471729485420334e-10,530
15,IQR (1.5x),Phase 2 (Middle),0.11791863705730976,3.4841805504464207e-06,4.1018611871917795e-16,530
15,IQR (1.5x),Phase 3 (Near Expiry),0.21385800892349366,3.969644650112853e-06,1.7060856345739758e-29,531
15,Pctl (1%-99%),Phase 1 (Early),0.06809585498840987,2.0002944339026074e-06,8.812811220167336e-11,599
15,Pctl (1%-99%),Phase 2 (Middle),0.21113426765037466,3.124029440030686e-06,1.2712947278127156e-32,599
15,Pctl (1%-99%),Phase 3 (Near Expiry),0.3114951590805577,2.808817686826439e-06,2.4026816873719815e-50,599
15,Z-Score (3),Phase 1 (Early),0.0684557730401635,1.9996562840228203e-06,6.07754834792651e-11,606
15,Z-Score (3),Phase 2 (Middle),0.18054598271595437,2.425991714713317e-06,5.810045196843599e-28,606
15,Z-Score (3),Phase 3 (Near Expiry),0.36271221392105024,2.7450814546839097e-06,4.3607406401792166e-61,606
15,Winsorized,Phase 1 (Early),0.07146902380715686,2.024769570804822e-06,1.8518542529739033e-11,611
15,Winsorized,Phase 2 (Middle),0.2284072985107644,3.057511288254123e-06,3.4467436041764694e-36,611
15,Winsorized,Phase 3 (Near Expiry),0.3958264044409302,3.0360961020741985e-06,7.142110329004951e-69,613
15,Abs (200k),Phase 1 (Early),0.06798418643294152,1.9947654036723166e-06,7.365079707508654e-11,605
15,Abs (200k),Phase 2 (Middle),0.18092446182086705,2.437368348505494e-06,5.582568333590999e-28,605
15,Abs (200k),Phase 3 (Near Expiry),0.3572379445975021,2.7451888589804644e-06,4.659303471499596e-60,607
15,Abs (100k),Phase 1 (Early),0.0800816812673026,2.5096128630078124e-06,3.2389368986240228e-12,584
15,Abs (100k),Phase 2 (Middle),0.18539572989779612,3.347832227678326e-06,9.279364764545684e-28,584
15,Abs (100k),Phase 3 (Near Expiry),0.2506096793576531,2.8892052096742107e-06,2.2784951611455013e-38,584
