time_window,outlier_method,phase,beta,r_squared,p_value,avg_depth_l1,avg_depth_l2,n_obs
30,Z-Score (3),Phase 1 (Early),2.470394315004585e-06,0.10054245846611275,1.7656699296808706e-08,17121.03083674888,5886355.328129884,302
30,Z-Score (3),Phase 2 (Middle),2.843934790746748e-06,0.24937826847934935,1.8772922901901005e-20,20771.528649300286,5168214.104525299,302
30,Z-Score (3),Phase 3 (Near Expiry),2.554120711599138e-06,0.34688889153150465,1.3750421849807792e-29,18831.46387109516,5678568.418318112,302
30,Winsorized,Phase 1 (Early),2.442651560252729e-06,0.10157239820884685,1.1869373191900444e-08,17256.004186581682,5858694.419747434,306
30,Winsorized,Phase 2 (Middle),3.0422483276138604e-06,0.2896021874643999,2.2598309719988256e-24,20735.13599987972,5165010.539830568,306
30,Winsorized,Phase 3 (Near Expiry),2.4141882876419575e-06,0.3393556302239504,2.2169591323700883e-29,22034.028522357814,5696868.798180374,308
30,Abs (200k),Phase 1 (Early),2.4865838766476164e-06,0.10151037518954399,1.8644138348991195e-08,17150.437099050294,5915184.561119309,298
30,Abs (200k),Phase 2 (Middle),3.0653116921371242e-06,0.2260508943845951,3.2614070353616984e-18,20421.788598459483,5174198.365314737,298
30,Abs (200k),Phase 3 (Near Expiry),2.653195209962583e-06,0.3025425006022326,4.829498123425589e-25,18617.42807507813,5649673.984359504,299
30,Abs (100k),Phase 1 (Early),2.8604896287459722e-06,0.09436985178175941,1.6472120297745614e-07,17277.85863736703,6035705.730452253,279
30,Abs (100k),Phase 2 (Middle),3.849264943085768e-06,0.19976261413245094,4.167083288323901e-15,19640.971585347426,5104491.815351653,279
30,Abs (100k),Phase 3 (Near Expiry),3.1749110339220944e-06,0.2462709961547377,9.424744583884985e-19,17645.55092384737,5558411.422657772,279
30,MAD (3),Phase 1 (Early),2.7344881432118685e-06,0.07624420814170578,4.105249686642699e-06,16975.225711487317,6081779.698591474,270
30,MAD (3),Phase 2 (Middle),3.456214991836662e-06,0.15001745420885834,4.2820892309657316e-11,20244.711674739177,4220309.671906479,270
30,MAD (3),Phase 3 (Near Expiry),3.5251503814179456e-06,0.23781682309826999,1.5498467723352294e-17,17448.548194791223,6463468.327792741,270
