mid_price_method,time_window,outlier_method,r_squared,beta,p_value,n_windows,std_err
last_trade,180,Raw,0.015088406205711606,2.561818047833308e-07,0.11826369019294469,163,1.6312190475428495e-07
last_trade,180,IQR (1.5x),0.00928553091428884,-4.338259401809081e-07,0.24891527716545855,145,3.747299289147898e-07
last_trade,180,Pctl (1%-99%),0.0006576080166668345,-7.291484715417579e-08,0.7483177722915639,159,2.2685050445664475e-07
last_trade,180,Z-Score (3),0.012493024076023002,-3.612796716351829e-07,0.1607144839863441,159,2.563480374811922e-07
last_trade,180,Winsorized,0.005024987361775926,1.6985248692887753e-07,0.36854970019877775,163,1.8836385596959484e-07
last_trade,180,Abs (200k),0.0014664883646347804,2.7107909932040687e-07,0.6715638659557109,125,6.378014318155771e-07
last_trade,180,Abs (100k),0.00022710995337669315,1.3499621739277176e-07,0.8816992842932883,100,9.047761747090167e-07
last_trade,180,MAD (3),0.0007037307832805164,1.3770974629408337e-07,0.7583025875820996,137,4.466235842561917e-07
last_trade,180,Pctl (5%-95%),0.005600846460476962,-3.251750465782664e-07,0.37098267359793013,145,3.6232869662108164e-07
last_trade,240,Raw,0.04848895021705684,4.214029445052967e-07,0.014802862572783041,122,1.7040897727165154e-07
last_trade,240,IQR (1.5x),0.06162109291180596,-1.4322304537789307e-06,0.00861475426966124,111,5.353330732390514e-07
last_trade,240,Pctl (1%-99%),0.02906864265722705,-5.351549874516673e-07,0.06491009770167552,118,2.8716563693245023e-07
last_trade,240,Z-Score (3),0.03133717776699258,-5.502913516257901e-07,0.05308877077313881,120,2.816488997570846e-07
last_trade,240,Winsorized,0.0010798046124049525,8.940597107760978e-08,0.7193591648179138,122,2.482382547078827e-07
last_trade,240,Abs (200k),0.03562783838818759,1.242735584364746e-06,0.08362280260917458,85,7.096877087358963e-07
last_trade,240,Abs (100k),0.050177577824672116,2.1475389586502514e-06,0.08533021445466907,60,1.2268555067259382e-06
last_trade,240,MAD (3),0.010688820847726183,-6.418445367250555e-07,0.28927082945196925,107,6.026105888369225e-07
last_trade,240,Pctl (5%-95%),0.003286297820447643,-2.671384963888297e-07,0.5556570745658296,108,4.5187186282763967e-07
last_trade,360,Raw,0.009242764452405695,1.7132447846520333e-07,0.39022691351674277,82,1.9831570519218736e-07
last_trade,360,IQR (1.5x),0.10432158380983249,-1.354562000348819e-06,0.005318117230378116,73,4.7104096956241557e-07
last_trade,360,Pctl (1%-99%),0.0011548020609428063,-6.783320833510608e-08,0.7647490060319815,80,2.2588655138511722e-07
last_trade,360,Z-Score (3),0.03273762060014431,-4.4689972035915907e-07,0.11054306487490408,79,2.768301021750835e-07
last_trade,360,Winsorized,0.006386271083877177,1.4798410010584355e-07,0.47542104250209494,82,2.0637409388381724e-07
last_trade,360,Abs (200k),0.016486934044754903,7.785270538351925e-07,0.37418717492458053,50,8.679070314803024e-07
last_trade,360,Abs (100k),0.050132681935890225,-2.498068797250523e-06,0.29290563678325815,24,2.3182702267512717e-06
last_trade,360,MAD (3),5.11729176519448e-05,-2.991937359445493e-08,0.9541844161617101,67,5.187577721022551e-07
last_trade,360,Pctl (5%-95%),0.004069762441860175,1.8202246396915585e-07,0.5944594645958754,72,3.4033443900039836e-07
vwap,1,Raw,0.0012261328042733847,-3.2974578578838e-07,7.501975910812422e-08,23583,6.128623951336056e-08
vwap,1,IQR (1.5x),0.002419919534414168,2.1019304529309945e-05,6.376141538498095e-11,17627,3.214601930159693e-06
vwap,1,Pctl (1%-99%),3.4181160254432456e-05,2.0418523834564965e-07,0.37413373943770234,23111,2.297380563058849e-07
vwap,1,Z-Score (3),3.9349726112561667e-07,1.7998837655546567e-08,0.9235763309546963,23389,1.876230793701703e-07
vwap,1,Winsorized,0.0005627681445196826,-6.347562002272864e-07,0.00026909951816894495,23583,1.7419627004652668e-07
vwap,1,Abs (200k),0.0031776298761155013,-7.850405183081543e-07,4.6804843382039994e-18,23571,9.056882368733758e-08
vwap,1,Abs (100k),0.002231643350227612,-8.423961612366241e-07,4.090123133082593e-13,23546,1.1608569967132481e-07
vwap,1,MAD (3),0.007010598079756511,5.6958648017769096e-05,2.692401729478413e-26,16002,5.359131982595141e-06
vwap,1,Pctl (5%-95%),0.00017125358295744722,1.1311339223761609e-06,0.05659707373157265,21223,5.932996341900417e-07
vwap,5,Raw,0.00021913636408844368,-8.403085655947081e-08,0.2621791939332881,5739,7.493617987767135e-08
vwap,5,IQR (1.5x),2.732519878561525e-05,2.0357323187913302e-07,0.7168492359448673,4816,5.612805976475395e-07
vwap,5,Pctl (1%-99%),5.2696785936805916e-05,-9.993486728982377e-08,0.5862808091624852,5623,1.8361440104763985e-07
vwap,5,Z-Score (3),0.0007599846089000737,-3.639849625420481e-07,0.03776239116714138,5679,1.7516869918069367e-07
vwap,5,Winsorized,0.002661046942715752,-6.016631020071864e-07,9.242604654017223e-05,5739,1.5378220240556288e-07
vwap,5,Abs (200k),0.007649760764939931,-8.564796920505913e-07,3.3789719667259684e-11,5725,1.2894774733064668e-07
vwap,5,Abs (100k),0.0023023079740157716,-5.893345233050513e-07,0.00029236384158108305,5694,1.6260998588509148e-07
vwap,5,MAD (3),0.0007572008088146152,1.7465734458269022e-06,0.07353573230808172,4230,9.757742265870234e-07
vwap,5,Pctl (5%-95%),2.4499702428049188e-05,1.3720459044092804e-07,0.7221086526053728,5165,3.8577302310053704e-07
vwap,10,Raw,0.0007580880174997607,1.259826484187389e-07,0.13851676732487417,2896,8.502310776894234e-08
vwap,10,IQR (1.5x),0.002080631322669517,1.3055588186190531e-06,0.021976911889947718,2522,5.69568984548125e-07
vwap,10,Pctl (1%-99%),0.0011844159298453902,-3.4884607846046343e-07,0.06678176729274733,2838,1.902266093486397e-07
vwap,10,Z-Score (3),0.0030221259436206908,-5.461054878254528e-07,0.003245697504140019,2865,1.853755050614546e-07
vwap,10,Winsorized,0.007170604804085532,-7.491752637561626e-07,5.037717232719494e-06,2896,1.6386778586325652e-07
vwap,10,Abs (200k),0.016859931720054757,-1.1408256190909718e-06,2.6322789064916124e-12,2881,1.6235969447019882e-07
vwap,10,Abs (100k),0.004207738557668994,-7.488314477771179e-07,0.0005397459248470745,2842,2.1616476458882572e-07
vwap,10,MAD (3),0.002937564896926511,2.0954645119800262e-06,0.008590299464731402,2350,7.967071341636021e-07
vwap,10,Pctl (5%-95%),0.0001432242573112461,-2.2366563630557067e-07,0.5414217473650285,2606,3.6621774356150346e-07
vwap,15,Raw,0.002108873005095965,1.8035854942227622e-07,0.04350994092382904,1933,8.928159978573977e-08
vwap,15,IQR (1.5x),0.0014039128025712098,8.041965391311847e-07,0.12153238254819568,1709,5.191230371278886e-07
vwap,15,Pctl (1%-99%),0.00367790081735892,-5.500778489514033e-07,0.00830780951981797,1893,2.0819882171584322e-07
vwap,15,Z-Score (3),0.0067393727301269185,-7.294777263214459e-07,0.0003252363862276424,1913,2.0258326408800123e-07
vwap,15,Winsorized,0.008138924880937183,-7.062709281441785e-07,7.128290749129004e-05,1933,1.7742797524578793e-07
vwap,15,Abs (200k),0.0067393727301269185,-7.294777263214459e-07,0.0003252363862276424,1913,2.0258326408800123e-07
vwap,15,Abs (100k),4.536726336057693e-05,-7.586442279890215e-08,0.7705168668442419,1878,2.6004026383675435e-07
vwap,15,MAD (3),0.00039892720696074334,4.1291503573052617e-07,0.42552013511974673,1594,5.180309340802539e-07
vwap,15,Pctl (5%-95%),0.0001769693661511421,1.9505275215095738e-07,0.5793204588490624,1739,3.5177477486486234e-07
